id,sector_name,division_name,district_name,year,source,total_number_of_blocks_in_districts_Number,total_number_of_cooperative_societies_in_districts_Number,total_number_of_female_members_Number,total_number_of_male_members_Number,total_number_of_members_in_societies_Number
62,Animal & Fisheries Department,Patna,Patna,2025,Animal & Fisheries Department,23,10,1355,3398,4753
63,Animal & Fisheries Department,Patna,Rohtas,2025,Animal & Fisheries Department,19,18,606,4752,5358
64,Animal & Fisheries Department,Purnia,Araria,2025,Animal & Fisheries Department,9,8,624,3845,4469
65,Animal & Fisheries Department,Purnia,Katihar,2025,Animal & Fisheries Department,16,16,7692,20843,28535
66,Animal & Fisheries Department,Purnia,Kishanganj,2025,Animal & Fisheries Department,7,7,696,2755,3451
67,Animal & Fisheries Department,Purnia,Purnia,2025,Animal & Fisheries Department,14,13,5431,11739,17170
68,Animal & Fisheries Department,Saran,Gopalganj,2025,Animal & Fisheries Department,14,14,791,3325,4116
69,Animal & Fisheries Department,Saran,Saran,2025,Animal & Fisheries Department,20,20,4210,13316,17526
70,Animal & Fisheries Department,Saran,Siwan,2025,Animal & Fisheries Department,19,19,1729,8654,10383
71,Animal & Fisheries Department,Tirhut,"East Champaran, Motihari",2025,Animal & Fisheries Department,27,27,19584,51875,71459
72,Animal & Fisheries Department,Tirhut,Muzaffarpur,2025,Animal & Fisheries Department,16,16,13772,24435,38207
73,Animal & Fisheries Department,Tirhut,Sheohar,2025,Animal & Fisheries Department,5,4,393,1261,1654
74,Animal & Fisheries Department,Tirhut,Sitamarhi,2025,Animal & Fisheries Department,17,17,14989,19207,34196
75,Animal & Fisheries Department,Tirhut,Vaishali,2025,Animal & Fisheries Department,16,15,2873,8028,10901
76,Animal & Fisheries Department,Tirhut,"West Champaran, Bettiah",2025,Animal & Fisheries Department,18,17,821,17655,18476
